Name,Ratings,Vote Count,Watch Time,Release Year
Metropolis,8.3, 196K,2h 33m,1927
Oppenheimer,8.3, 911K,3h,2023
Snatch,8.2, 951K,1h 42m,2000
1917,8.2, 735K,1h 59m,2019
L.A. Confidential,8.2, 645K,2h 18m,1997
Bicycle Thieves,8.2, 187K,1h 29m,1948
Downfall,8.2, 391K,2h 36m,2004
Dangal,8.3, 229K,2h 41m,2016
The Wolf of Wall Street,8.2, 1.7M,3h,2013
Hamilton,8.3, 130K,2h 40m,2020
Green Book,8.2, 644K,2h 10m,2018
Taxi Driver,8.2, 987K,1h 54m,1976
Batman Begins,8.2, 1.7M,2h 20m,2005
The Truman Show,8.2, 1.3M,1h 43m,1998
For a Few Dollars More,8.2, 291K,2h 12m,1965
Judgment at Nuremberg,8.3, 93K,2h 59m,1961
Some Like It Hot,8.2, 297K,2h 1m,1959
Shutter Island,8.2, 1.6M,2h 18m,2010
The Kid,8.2, 142K,1h 8m,1921
The Father,8.2, 216K,1h 37m,2020
Jurassic Park,8.2, 1.1M,2h 7m,1993
All About Eve,8.2, 146K,2h 18m,1950
There Will Be Blood,8.2, 676K,2h 38m,2007
The Sixth Sense,8.2, 1.1M,1h 47m,1999
Ran,8.2, 145K,2h 40m,1985
Casino,8.2, 597K,2h 58m,1995
Top Gun: Maverick,8.2, 790K,2h 10m,2022
No Country for Old Men,8.2, 1.1M,2h 2m,2007
The Thing,8.2, 503K,1h 49m,1982
Unforgiven,8.2, 457K,2h 10m,1992
Pan's Labyrinth,8.2, 728K,1h 58m,2006
Kill Bill: Vol. 1,8.2, 1.3M,1h 51m,2003
A Beautiful Mind,8.2, 1M,2h 15m,2001
Prisoners,8.2, 882K,2h 33m,2013
The Treasure of the Sierra Madre,8.2, 138K,2h 6m,1948
Yojimbo,8.2, 139K,1h 50m,1961
Finding Nemo,8.2, 1.2M,1h 40m,2003
Howl's Moving Castle,8.2, 488K,1h 59m,2004
The Great Escape,8.2, 271K,2h 52m,1963
Monty Python and the Holy Grail,8.2, 591K,1h 31m,1975
The Elephant Man,8.2, 275K,2h 4m,1980
Dial M for Murder,8.2, 199K,1h 45m,1954
Klaus,8.2, 217K,1h 36m,2019
Gone with the Wind,8.2, 348K,3h 58m,1939
Chinatown,8.1, 367K,2h 10m,1974
The Secret in Their Eyes,8.2, 235K,2h 9m,2009
"Lock, Stock and Two Smoking Barrels",8.1, 638K,1h 47m,1998
Rashomon,8.2, 191K,1h 28m,1950
V for Vendetta,8.1, 1.2M,2h 12m,2005
Inside Out,8.1, 876K,1h 35m,2015
"Three Billboards Outside Ebbing, Missouri",8.1, 587K,1h 55m,2017
Catch Me If You Can,8.1, 1.2M,2h 21m,2002
Trainspotting,8.1, 753K,1h 33m,1996
The Bridge on the River Kwai,8.1, 244K,2h 41m,1957
Raging Bull,8.1, 398K,2h 9m,1980
The Wild Robot,8.2, 187K,1h 42m,2024
Fargo,8.1, 761K,1h 38m,1996
Harry Potter and the Deathly Hallows: Part 2,8.1, 1M,2h 10m,2011
Warrior,8.1, 517K,2h 20m,2011
Gran Torino,8.1, 843K,1h 56m,2008
Million Dollar Baby,8.1, 750K,2h 12m,2004
Ben-Hur,8.1, 265K,3h 32m,1959
Mad Max: Fury Road,8.1, 1.2M,2h,2015
My Neighbor Totoro,8.1, 412K,1h 26m,1988
Barry Lyndon,8.1, 195K,3h 5m,1975
Dead Poets Society,8.1, 598K,2h 8m,1989
Children of Heaven,8.2, 87K,1h 29m,1997
Hacksaw Ridge,8.1, 644K,2h 19m,2016
Spider-Man: No Way Home,8.2, 963K,2h 28m,2021
The Grand Budapest Hotel,8.1, 934K,1h 39m,2014
12 Years a Slave,8.1, 768K,2h 14m,2013
Before Sunrise,8.1, 362K,1h 41m,1995
Blade Runner,8.1, 858K,1h 57m,1982
Memories of Murder,8.1, 246K,2h 12m,2003
Gone Girl,8.1, 1.1M,2h 29m,2014
Ratatouille,8.1, 895K,1h 51m,2007
How to Train Your Dragon,8.1, 857K,1h 38m,2010
"Monsters, Inc.",8.1, 1M,1h 32m,2001
In the Name of the Father,8.1, 197K,2h 13m,1993
Jaws,8.1, 705K,2h 4m,1975
Wild Tales,8.1, 231K,2h 2m,2014
The Gold Rush,8.1, 125K,1h 35m,1925
Sherlock Jr.,8.2, 63K,45m,1924
Ford v Ferrari,8.1, 533K,2h 32m,2019
Mary and Max,8.1, 197K,1h 32m,2009
The Deer Hunter,8.1, 378K,3h 3m,1978
The Wages of Fear,8.1, 71K,2h 36m,1953
The General,8.1, 104K,1h 18m,1926
Mr. Smith Goes to Washington,8.1, 127K,2h 9m,1939
On the Waterfront,8.1, 174K,1h 48m,1954
Logan,8.1, 897K,2h 17m,2017
Wild Strawberries,8.1, 121K,1h 32m,1957
Rocky,8.1, 665K,2h,1976
The Third Man,8.1, 191K,1h 44m,1949
Tokyo Story,8.1, 75K,2h 17m,1953
Spotlight,8.1, 522K,2h 9m,2015
The Terminator,8.1, 971K,1h 47m,1984
Pirates of the Caribbean: The Curse of the Black Pearl,8.1, 1.3M,2h 23m,2003
The Big Lebowski,8.1, 895K,1h 57m,1998
Maharaja,8.4, 72K,2h 21m,2024
The Seventh Seal,8.1, 210K,1h 36m,1957
La haine,8.1, 214K,1h 38m,1995
Room,8.1, 470K,1h 58m,2015
Jai Bhim,8.6, 228K,2h 44m,2021
